"","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Var20","Target"
"27","W4",57,408,"fdd843852b06ef5f16499621443c2776","no","yes",39,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,"False."
"28","M8",NA,408,"e6a9605c53561cce89910a2556dbc1ce","no",NA,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,"False."
"29","M6",20,415,"aa13e2b399749f89bad5b6c1a7a414f0","no","no",0,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,"False."
"30",NA,49,510,"60949637b19d638f665ff68e07aada7f","no","no",0,119.3,117,20.28,NA,109,NA,178.7,90,8.04,11.1,1,3,1,"False."
"31","I3",142,415,"851286e7f76fa302a11f2ce08e0b746f","no","no",0,84.8,95,14.42,136.7,63,11.62,NA,148,11.27,14.2,6,3.83,2,"False."
"32","N4",75,510,"eda951aecd757cd63187512dcbf69669","no","no",0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,"False."
"33","L1",172,408,"a9e9d9476a1275c1fe7563c61e9c249b","no","no",0,NA,121,36.04,31.2,115,2.65,NA,78,13.2,12.6,10,3.4,3,"False."
"34","A4",12,408,"6d9ae05cb47308a599d23b71ba30bd0f","no","no",0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,"True."
"35","O2",57,408,"200861235f2405e6b769106aa4af3654","no","yes",25,176.8,94,30.06,195,75,NA,213.5,116,9.61,8.3,NA,2.24,0,"False."
"36","G1",72,415,"1af5a9298e88898ebfdc21278b5112ee","no","yes",37,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,"False."
"37","A1",36,408,"93430c9ce73a5437185103ae8fbb342c","no","yes",30,NA,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,NA,"False."
"38","M1",78,415,"0fcbe555bca9b09764fa545195ab11c6","no","no",0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1,"False."
"39","A1",136,415,"aa531154d146a6a1005bc96f269db7d6","yes",NA,NA,NA,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,"False."
"40","N5",149,408,"0b3e79f1a385541285182bd8e785c533","no","no",0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1,"False."
"41","G1",98,408,"0374138cbf6711f8b8b0b227b8f7e39a","no","no",0,126.3,102,21.47,166.8,85,NA,NA,135,8.45,9.4,2,2.54,3,"False."
"42","M2",135,408,"dcfbe90a0470f65e00f2d66a822a3d0b","yes","yes",41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,"True."
"43","A3",34,510,"f1a6682bbc959c430c885c8ee76ccf22","no","no",0,124.8,82,21.22,282.2,98,NA,311.5,78,14.02,10,4,2.7,2,"False."
"44","I2",160,415,"ca03dc4f0cb62cbee95581bbc28a332a","no","no",0,85.8,77,14.59,165.3,110,NA,178.5,92,8.03,9.2,4,2.48,3,"False."
"45","W2",64,510,"fe67cdf6af87bee30a9b610426371143","no","no",0,154,67,26.18,225.8,118,19.19,265.3,86,NA,3.5,3,0.95,1,"False."
"46","O3",59,408,"5a4a1f51e9b4259a3abdce001e761493","no","yes",28,120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,NA,NA,2,"False."
"47","M4",65,415,"9dcfcb0591ad9e6f144abdd4a6a6a63c",NA,"no",0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,NA,3.56,3,"False."
"48","D2",142,408,NA,"no","no",0,187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2,2,"False."
"49","I2",119,415,"9b0dc4ab6e7319e92bff04af0470bee4","no","no",0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,NA,"True."
"50","W4",97,415,"cde4248daac4febb0aca6c302fc68229","no","yes",24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,1,"False."
"51","I1",52,408,"176815e7f263a0804d3960bb0dc320fe","no","no",0,191.9,NA,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,"False."
"52","I4",NA,408,"15af824e344eaea81486ab7319f9947e","no","no",0,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,1,"False."
"53","V1",10,408,"d612b004e27d831b55ac93db73ab1bfb","no","no",0,186.1,112,31.64,NA,66,16.17,282.8,57,12.73,11.4,6,3.08,NA,"False."
"54","U1",96,415,NA,"no","no",0,160.2,117,27.23,267.5,NA,22.74,228.5,68,10.28,9.3,5,2.51,2,"False."
"55","W4",87,415,"d7ac031c86a1ce34d8a53f8c83e82270","no","no",0,151,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,"True."
"56","I4",81,408,"4b70f9922f79c971d5acff6b838f6e9e",NA,"no",0,NA,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,"False."
"57","C2",141,415,"7a2ee55f51bc07469912678ca2501146","no","no",0,126.9,98,21.57,180,NA,15.3,140.8,128,6.34,8,2,2.16,NA,"False."
"58","C2",121,408,NA,"no","yes",NA,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,"True."
"59","W2",68,415,"88a29992a4ce4489274e395890872f68","no",NA,0,NA,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,"False."
"60","O2",NA,408,"75bd00d2ec4059bc1f5f9c9ebbb3e5a7","no","no",0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12,8,3.24,1,"False."
"61","I2",174,408,"600e40a1e811163a3a5bddb39ba68a95","no","no",0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,"False."
"62","C1",116,415,"b86d69de51acd048eeba95bbdf7cdc49","no","yes",34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,"False."
"63","M5",74,510,"db59d1ee2987322a1c42c3bdb49f9509","no","yes",33,193.7,91,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94,2,"False."
"64","S1",149,408,NA,"no","yes",28,180.7,92,30.72,187.8,NA,15.96,265.5,53,11.95,12.6,3,3.4,3,"False."
"65","N1",38,408,"f748a864649267b50f232534422c206f","no","no",0,131.2,98,22.3,162.9,NA,NA,159,106,7.15,8.2,6,2.21,2,"False."
"66","W1",40,415,NA,"no","yes",41,148.1,74,25.18,169.5,88,14.41,NA,102,9.63,6.2,5,1.67,2,"False."
"67","W4",43,415,"d59d455bfe820bbcdfdfea3a96ddaf8f","yes","no",0,251.5,105,42.76,212.8,104,18.09,NA,67,7.1,9.3,4,2.51,0,"False."
"68","M5",113,408,"71b529d31f2021d966042e34bc705ed1","yes",NA,0,125.2,93,21.28,206.4,119,17.54,NA,139,NA,8.3,8,2.24,0,"False."
"69","U1",126,408,"0a74c87f928a5e9f591d9b84e71d1ee2","no","no",0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,"False."
"70","T2",150,510,"47d1e63a92c1d9d6cb61950f66f2f380","no","no",0,178.9,NA,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,"True."
"71","N5",138,408,"60780d1ddf941963e53682d690b228c1","no","no",0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,"False."
"72","M5",162,510,"f931510bb06e88dd94049a9f742fa9d7","no","yes",NA,224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,0,"False."
"73",NA,147,510,"0025dfbb3d710313e177941b3258dc0e","no","no",0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8,4,2.16,3,"False."
"74","N7",90,415,"1b63a0a931e521a1d22b8debc17a4785","no","no",NA,NA,146,34.58,226.7,NA,19.27,152.4,105,6.86,7.3,4,1.97,1,"False."
"75","H1",85,415,"456dce5d900dd277c745e9265e23ef7f","no","no",0,235.8,NA,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0,"False."
"76","M5",50,415,"ada6af600120cedfbf896699c71fa3c6","no","no",0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,"False."
"77","D1",82,415,NA,"no","no",0,300.3,109,51.05,NA,100,15.39,270.1,73,12.15,11.7,4,3.16,0,"True."
"78","N8",144,408,"dc1e30d9434830fa774687d5ea910e37","no","no",0,61.6,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21,4,"True."
"79","M5",46,415,"70cbe5dcad5b526ccfdacfb8ecd686c6","no","no",0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,"False."
"80","M2",NA,408,"de3dcdfb9d344d61661ff659adc379a2","no","no",0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15,2,4.05,1,"False."
"81","W3",144,415,"13431a1b6ec78bdffb31cac9d286c5c8","no","no",0,201.1,99,34.19,303.5,74,25.8,NA,119,10.08,13.2,2,3.56,1,"False."
"82","O3",116,415,"01ef8af6555aaba6ab994a803368abf0","yes","no",0,215.4,NA,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,"False."
"83","C2",55,408,"382db27a9e97fe4fc2c6465b1f32d460","no","yes",25,165.6,123,28.15,136.1,NA,11.57,175.7,90,7.91,11,2,2.97,3,"False."
"84","G1",70,415,"96258a784d0cf0d0dd2611fdba285b13","no","yes",24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,"False."
"85","T2",106,510,"d0e62a8a07c73f5d5cd27d6606fc8d69","no","no",0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,"True."
"86","V2",128,510,"641217bb2a3a95a9c3ba024e76d8d07a","no","yes",NA,179.3,104,30.48,225.9,86,19.2,323,78,14.54,8.6,7,2.32,0,"False."
"87","I4",94,408,"125a24fd06c56fe7906f0e9273df289e","no","no",NA,157.9,105,26.84,155,101,13.18,189.6,84,8.53,8,5,2.16,4,"True."
"88","W3",111,510,"a0fc18f8051ac13c3c7bfea1ecb28c2a","no","no",NA,214.3,NA,36.43,208.5,76,17.72,NA,98,8.21,NA,2,3.24,1,"False."
"89","K2",74,415,"808dc8bb572bdef3740afa893b6f54f5","no","yes",35,154.1,NA,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,"False."
"90","N5",128,415,"cd804b52c6ab1aef28fffd44199956ab","no","no",0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,NA,1,"True."
"91","D1",82,510,"78a6dc0ed62fc417861f068535ef2164","no","no",0,143.9,61,24.46,194.9,105,16.57,NA,94,4.93,11.1,2,3,1,"False."
"92","L1",155,415,"8337d1e2ede415cb2edcc972a0e47caf","no","no",0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0,"True."
"93","A3",80,415,"dec8e0fab3168b8d9e2ec3092c2eb07f","no","no",0,124.3,NA,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,1,"False."
"94","M3",78,415,NA,"no","no",0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,"False."
"95","A4",90,415,"3331fdda8110280389681603fa7f156a","no","no",0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,"False."
"96","A1",104,408,"4467a1756a9b2fb2e56d5062a4928db3","no","no",0,278.4,106,47.33,81,113,6.89,163.2,137,7.34,NA,5,2.65,1,"False."
"97","M8",73,415,"ede66e364fbe03e5e7e574a63e8861a7","no","no",0,160.1,NA,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0,"False."
"98","A4",99,415,"72ce56a44933876704efa24f58a78005","no","no",0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,"False."
"99","M7",NA,408,"fd8f5dbd3ea0f127fae04970cca08d8f","no","no",0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,NA,1.43,1,"True."
"100","I2",77,415,"667404532be2121a3c5978535d9abfbf","no","no",0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,"True."
"101","I1",98,510,"062b0a2a5433c95ad91f011a13843e0b","no","yes",21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,"False."
"102","M1",NA,415,"33e0a2155c78d7709e96335baa079279","no","no",0,NA,NA,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,0,"False."
"103","V2",135,415,"cddd77a50a8a475d0b38fc59935a02ea","no","no",0,151.7,82,25.79,119,105,10.12,180,100,8.1,10.5,6,2.84,0,"False."
"104","K2",95,408,"f0cbc72228abdd0573e8594c82742bc0","no","no",0,135,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,"False."
"105","I4",122,408,"0e60d8527d4acf9ba0e190634770826c","no","no",0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,"False."
"106","A4",95,408,"f1ab66fcb675e1743aa7128ea022224d","no","no",0,238.1,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,4,"False."
"107","M4",36,510,"6c88dafcc2e31c354e4effd558388c64","no","yes",29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9,6,2.43,2,"False."
"108","N6",93,510,"0ff5ed52ef74ee92c1283d04e1505e5c","no","yes",21,117.9,NA,20.04,164.5,115,13.98,217,86,9.76,9.8,3,2.65,1,"False."
"109","C2",141,415,"16409ab64d57097c6511d4c44a11d374","no","yes",32,148.6,91,25.26,131.1,97,11.14,219.4,142,NA,10.1,1,2.73,1,"False."
"110","U1",157,408,"0a9cc089e37ad7ccf698b18d1ff6cc38","no","no",0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,"False."
"111","M4",120,408,"924e17768f37fc4780ce93622a263025","no","no",0,165,100,28.05,317.2,83,NA,119.2,86,5.36,8.3,8,2.24,1,"False."
"112","M1",103,415,NA,"no","no",0,185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,NA,3.4,2,"False."
"113","A2",98,408,NA,"no","no",NA,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,"False."
"114","D2",125,408,"531fc146682f8c4ac5f36cf508e3cba4","no","no",0,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,1,"False."
"115","A4",63,415,"ae67f8ac183f233b43656c2ebaaf6dc5","no","no",0,58.9,NA,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,"False."
"116","M3",36,510,"81e3a98c7f54f8e3093154afaf77a809","yes","yes",42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4,0,"True."
"117","N5",64,510,"60e9b3e702ee40c2792c537747e57fdf","no","no",NA,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,"False."
"118","N7",74,415,NA,"no","no",0,282.5,114,48.03,219.9,NA,18.69,170,115,7.65,9.4,4,2.54,NA,"True."
"119","M6",112,510,"5ed98720f35e6ed2d9e21356a420b37f","no","yes",36,113.7,117,19.33,157.5,82,13.39,NA,118,7.99,10,3,2.7,2,"False."
"120","I2",97,408,"bc4725f0d9d44e7e40aeaa6dada0f8d5","no","no",NA,239.8,125,40.77,214.8,111,18.26,143.3,81,NA,8.7,5,2.35,2,"False."
"121","N3",46,408,"0230970b09fe6fe582ca23137e5cab1e","no",NA,0,NA,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,1,"False."
"122","T2",41,408,NA,"no","yes",22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,"False."
"123","M2",121,510,"1d2093e6cdf7e5681cae0d713d43b533","no","no",0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,"False."
"124","M7",193,415,"47f030fcd4897ff5dc0c05f8b4324caa","no","no",0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,NA,3.13,1,"False."
"125","N7",130,510,"17e251be72bf3b3014412d3de7ffa8f2","no",NA,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,"False."
"126",NA,85,408,"c99480470358a7a9977e319571758e7f","no","no",0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12,3,3.24,1,"False."
"127","M7",162,415,"911817133f14f8bc59c2660641cbab8d","no","no",0,70.7,108,12.02,157.5,87,13.39,NA,82,6.97,9.1,3,2.46,4,"True."
"128","M7",61,510,NA,"no","yes",27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,"True."
"129","T2",92,408,"634d81f07444f1185b3b7f1cc521ee20","no","no",0,91.7,90,15.59,193.7,123,16.46,NA,86,NA,9.2,4,2.48,2,"False."
"130","N3",131,408,"f82cab6104625f96bb42ab5dfdd29563","no",NA,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,"False."
"131","N3",90,415,"f84ce7897548fc5a2bea45a432ace949","no","no",0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,NA,"False."
"132","C1",75,408,"21a6d9fd771f0536d3cbcd4da054c514","no","no",0,166.3,125,28.27,NA,86,13.45,256.7,80,11.55,6.1,5,1.65,1,"False."
"133",NA,78,415,"60adc60cc2a20207b56dc4612bfbab31","no","no",0,231,115,39.27,230.4,140,19.58,261.4,120,11.76,NA,3,2.57,1,"False."
"134","T2",82,408,"9fc393d37e2d08baf7fd418dc59cb60f","no","no",0,200.3,96,34.05,201.2,NA,17.1,206.1,60,9.27,7.1,1,1.92,4,"False."
"135","A3",163,408,"ad4aaf89fcba41a36a549b5dd480cd5c","no","no",0,197,NA,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,"False."
"136",NA,91,510,"36a27c970ea2c8cf2a95982b9c4772e4","yes","no",0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,"False."
"137",NA,75,415,NA,"no","yes",21,NA,97,NA,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,"False."
"138","F1",91,510,"d2012e2c0bb9eae2e635a9cad92706dc","no","no",0,203.1,NA,34.53,210.1,113,17.86,195.6,129,8.8,12,3,3.24,NA,"False."
"139","A1",127,510,"7e8f451251c67fbd85ea982ad623f292","no","yes",36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,"False."
"140","N7",113,415,"d60e787b406406782153d25c2f93be6a","no","yes",23,205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,2,"False."
"141","D2",110,510,NA,"no",NA,0,148.5,115,25.25,NA,84,23.49,193.6,112,8.71,12.4,3,3.35,1,"False."
"142","M2",120,415,"3691aeb58e47bf2a00fe09ac0c75a4f5","no","yes",39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,"False."
"143","M4",157,415,"a2f6dd8e12944a32523babe1741add2d","no","yes",28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,"False."
"144","V2",103,510,"0da394629d37fe125c62a27fd09a8807","no","no",0,246.5,47,41.91,NA,84,16.62,200.5,96,9.02,11.7,4,3.16,1,"False."
"145","V2",117,408,"5f967535e711a392322dc9b5a9c4ff30","yes","no",0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,"True."
"146","M4",140,415,"92b52fc365a8fa964e9f8828061e0765","no","no",0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,NA,6,3.86,3,"False."
"147","W1",127,408,"80231c19868119429d5c8b021acf58b0","no","no",0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,"False."
"148","U1",83,408,"dd8f81a71a15c91a28aa48beda24285b","yes",NA,0,271.5,87,46.16,216.3,NA,18.39,121.1,105,5.45,11.7,4,3.16,NA,"False."
"149","L1",121,408,"2668026cd5f9fd253706507536098bc7","no","no",0,181.5,121,30.86,218.4,NA,18.56,161.6,103,7.27,8.5,5,2.3,1,"False."
"150","R1",145,408,"1ec4d9803e82d9fe31e7c6fa90a31984","no","yes",43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3,2,"False."
"151","I1",113,408,"a348b34b0c18e2fd4b5a76b359b8047e","no",NA,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,"False."
"152","N3",117,415,"9999dbabf5c8897bef469a13309584ef","no","no",0,102.8,119,17.48,206.7,91,17.57,299,105,13.46,10.1,7,2.73,1,"False."
"153","O1",65,408,"1c9a03c5eca20b7b40c10a500be80ed1","no","no",0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,"False."
"154","R1",56,415,"c19a95d4486e552d26e1f03be9a7ff6a","no","no",0,226,112,NA,248.5,118,21.12,140.5,142,6.32,6.9,NA,1.86,1,"False."
"155","O2",96,415,"e010c23625f54ce376831154fe0de0c2","no","no",0,NA,115,44.27,146,46,12.41,269.5,87,12.13,11.5,4,3.11,5,"False."
"156","L1",151,408,"3590f33514deb90498fab221964291ab","no","no",0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,"False."
"157","O1",83,415,"b7553b47ac0653401e34ce4f17e32f7b","no","no",0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,"True."
"158","V1",139,510,"8d473b9611ba91d11860bed808fe08ea","no","yes",23,157.6,129,26.79,247,96,NA,259.2,112,11.66,13.7,NA,3.7,0,"False."
"159","M6",6,510,"a52dccb69b4ef2540076d88e510bb63c","no",NA,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,"False."
"160","F1",115,510,"84af9f36d9260b7bb26736c09ec4c706","no","yes",24,142.1,124,24.16,183.4,129,NA,164.8,114,7.42,9.6,4,2.59,1,"False."
"161","S1",87,415,"cdc0cd515492cb9f350576fffd818c7b","no","no",0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,"False."
"162","V1",NA,415,NA,"no","no",0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,NA,3.24,0,"False."
"163","I1",NA,510,"06d7a3bf1412b34b9870c4c9681b8718","no","yes",36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,"False."
"164","M4",62,415,"9ece32345a062d45255e942c7fc9a89f","no","no",0,98.9,103,16.81,NA,122,11.51,236.6,82,10.65,12.2,NA,3.29,1,"False."
"165","O2",146,415,"3a54f8804a926134086e590758f7f4c0","no","no",0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,NA,"False."
"166","D2",92,415,"d0f10716de122f72f87893135ae7a726","no","yes",33,243.1,92,41.33,213.8,92,NA,228.7,104,10.29,12.1,2,3.27,2,"False."
"167","G1",185,510,"b564908911201873898c67bebee0cfc7","no","yes",NA,189.8,126,32.27,163.3,NA,13.88,264.8,126,NA,7.5,3,2.03,1,"False."
